id,centre,number,primary,type,country,source,person
,C#44000388,7799414577,TRUE,mob,GB,OFSTED,
,C#44000389,1756709451,TRUE,lan,GB,OFSTED,
,C#44000390,01756 700956,TRUE,lan,GB,OFSTED,
,C#44000391,01756 533110,TRUE,lan,GB,OFSTED,
,C#44000392,0113 234 6098,TRUE,lan,GB,OFSTED,
,C#44000393,1756794028,TRUE,lan,GB,OFSTED,
,C#44000394,1609797052,TRUE,lan,GB,OFSTED,
,C#44000395,01609 797052,TRUE,lan,GB,OFSTED,
,C#44000396,01756 799339,TRUE,lan,GB,OFSTED,
,C#44000397,1756793609,TRUE,lan,GB,OFSTED,
,C#44000398,7525727740,TRUE,mob,GB,OFSTED,
,C#44000399,1756792910,TRUE,lan,GB,OFSTED,
,C#44000400,01756 748377,TRUE,lan,GB,OFSTED,
,C#44000401,1282843381,TRUE,lan,GB,OFSTED,
,C#44000402,1729830214,TRUE,lan,GB,OFSTED,
,C#44000403,01729 822370,TRUE,lan,GB,OFSTED,
,C#44000404,07583 607093,TRUE,mob,GB,OFSTED,
,C#44000405,7834826863,TRUE,mob,GB,OFSTED,
,C#44000406,1756752348,TRUE,lan,GB,OFSTED,
,C#44000407,01756 710452,TRUE,lan,GB,OFSTED,
,C#44000408,1756710452,TRUE,lan,GB,OFSTED,
,C#44000409,1756720141,TRUE,lan,GB,OFSTED,
,C#44000410,1756710378,TRUE,lan,GB,OFSTED,
,C#44000411,01756 791123,TRUE,lan,GB,OFSTED,
,C#44000412,7834826863,TRUE,mob,GB,OFSTED,
,C#44000413,01756 793286,TRUE,lan,GB,OFSTED,
,C#44000414,1729824884,TRUE,lan,GB,OFSTED,
,C#44000415,1729822019,TRUE,lan,GB,OFSTED,
,C#44000416,1274722981,TRUE,lan,GB,OFSTED,
,C#44000417,01274 200589,TRUE,lan,GB,OFSTED,
,C#44000418,01274 307233,TRUE,lan,GB,OFSTED,
,C#44000419,1274648490,TRUE,lan,GB,OFSTED,
,C#44000420,01274 559524,TRUE,lan,GB,OFSTED,
,C#44000421,1274773003,TRUE,lan,GB,OFSTED,
,C#44000422,1274665812,TRUE,lan,GB,OFSTED,
,C#44000423,1274771166,TRUE,lan,GB,OFSTED,
,C#44000424,7414800038,TRUE,mob,GB,OFSTED,
,C#44000425,07414 800038,TRUE,mob,GB,OFSTED,
,C#44000426,1274668786,TRUE,lan,GB,OFSTED,
,C#44000427,01274 665652,TRUE,lan,GB,OFSTED,
,C#44000428,1274089920,TRUE,lan,GB,OFSTED,
,C#44000429,01274 667 553,TRUE,lan,GB,OFSTED,
,C#44000430,1274666472,TRUE,lan,GB,OFSTED,
,C#44000431,1274669100,TRUE,lan,GB,OFSTED,
,C#44000432,7966022898,TRUE,mob,GB,OFSTED,
,C#44000433,7956704861,TRUE,mob,GB,OFSTED,
,C#44000434,1274721751,TRUE,lan,GB,OFSTED,
,C#44000435,1274669593,TRUE,lan,GB,OFSTED,
,C#44000436,1274773977,TRUE,lan,GB,OFSTED,
,C#44000437,1274664864,TRUE,lan,GB,OFSTED,
,C#44000438,1274683128,TRUE,lan,GB,OFSTED,
,C#44000439,1274689919,TRUE,lan,GB,OFSTED,
,C#44000440,1274778577,TRUE,lan,GB,OFSTED,
,C#44000441,01274 687 588,TRUE,lan,GB,OFSTED,
,C#44000442,1274681959,TRUE,lan,GB,OFSTED,
,C#44000443,01274 305 528,TRUE,lan,GB,OFSTED,
,C#44000444,7864848420,TRUE,mob,GB,OFSTED,
,C#44000445,1274256789,TRUE,lan,GB,OFSTED,
,C#44000446,1274664661,TRUE,lan,GB,OFSTED,
,C#44000447,1274662363,TRUE,lan,GB,OFSTED,
,C#44000448,1274770312,TRUE,lan,GB,OFSTED,
,C#44000449,01274 682989,TRUE,lan,GB,OFSTED,
,C#44000450,1274664225,TRUE,lan,GB,OFSTED,
,C#44000451,1274778177,TRUE,lan,GB,OFSTED,
,C#44000452,1274684455,TRUE,lan,GB,OFSTED,
,C#44000453,01274 315 073,TRUE,lan,GB,OFSTED,
,C#44000454,1274231735,TRUE,lan,GB,OFSTED,
,C#44000455,1274681961,TRUE,lan,GB,OFSTED,
,C#44000456,7955046390,TRUE,mob,GB,OFSTED,
,C#44000457,01274 955955,TRUE,lan,GB,OFSTED,
